fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,label
-0.6505215,-0.2511447,-1.0576735,2.0520024,0.024577746,-0.57795775,-0.89071137,0.049521945,0.40722585,0.112961076,0.7233387,2
-0.2529806,2.0319715,-1.2659206,-0.520204,-0.61117595,-1.1537111,-1.206573,0.23587058,0.3426079,-1.89228,-1.2390066,3
-0.87768775,0.9326933,-1.422106,2.1215217,0.7423642,0.47759017,0.3727353,1.5299584,0.98878753,0.3421315,-0.21111144,0
0.9396422,0.1998412,-0.17262323,-0.2421276,-0.1805041,0.28567237,0.3727353,1.2193773,-0.8205156,-0.57455015,-0.30455646,1
-1.7863528,-1.0403701,-1.422106,-0.520204,-0.77524143,1.0533435,0.5306661,-2.6628861,2.4103827,0.7431797,3.3397992,1
-0.9344793,0.087094724,-0.7453028,-0.3811658,-0.24202865,-0.09816323,-0.32216036,0.2876341,1.958057,-0.116209336,-0.5848915,0
-0.19618903,0.36896092,-0.58911747,-0.520204,-0.46761867,-1.24967,-0.9538837,-0.28176454,0.7303157,1.4879836,0.069223605,2
1.8483071,-0.6457574,1.5974773,0.17498697,0.16813503,0.86142576,1.7309405,1.8094813,-1.1436054,-0.74642795,-0.39800146,0
-0.9344793,-2.0550883,1.909848,-0.3116467,-0.5906678,0.76546687,0.18321829,-0.93398476,0.21337195,0.28483889,0.7233387,1
0.31493503,-1.3222363,0.40005636,-0.45068488,-0.4266023,0.86142576,0.34114912,0.13234356,-0.8205156,4.008858,-0.11766642,1
0.08776878,0.7635736,-0.38087034,-0.3116467,0.18864322,0.669508,2.1099744,0.30316314,-1.1436054,-1.032891,-1.1455616,0
-1.104854,-0.92762357,-0.32880858,-0.2421276,-0.836766,0.95738465,0.056873623,-0.06953413,1.0534055,0.6285945,-0.6783365,1
-0.59373,2.5675173,-1.161797,-0.3116467,-0.54965144,0.38163126,0.08845979,0.15822531,0.019518036,-0.63184273,-0.6783365,5
0.54210126,1.0736264,-0.17262323,-0.3116467,-0.36507776,-1.0577523,-0.827539,-0.07471048,-1.2082233,-0.40267235,-0.4914465,0
1.4507662,-1.1531166,1.2851067,-0.520204,0.9064297,0.09375457,-0.06947104,0.3083395,-0.17433587,0.6285945,1.0036738,1
2.3026397,-0.58938414,1.1289213,1.4263307,-0.3035532,0.28567237,-0.10105721,0.5464516,-1.854403,-0.28808716,-0.86522657,0
